identifier,pos x,pos y,pos z,status
4969,0.2410811,0.01449522,-0.7243772,success
4980,0.2986737,0.01576789,-0.669843,success
5171,0.1658766,0.1805221,-0.6280487,success
4153,0.175553,0.1646796,-0.6154189,success
4244,0.1683898,0.1793396,-0.614858,success
4745,0.3020839,0.01678716,-0.5406049,success
4950,0.3362187,0.02693056,-0.6803302,success
4976,0.337949,0.02584501,-0.6315895,success
5015,0.2626997,0.006304488,-0.6943364,success
5018,0.2669527,0.01268671,-0.6772745,success
5022,0.2273823,0.01417932,-0.7210959,success
5036,0.2250516,0.01385461,-0.7235082,success
5041,0.2282385,0.01374482,-0.610755,success
5051,0.2417449,0.0156495,-0.701097,success
5061,0.2463183,0.0147398,-0.7280083,success
5066,0.2523856,0.01485632,-0.7044018,success
5070,0.2474982,0.01447454,-0.6616656,success
5078,0.2816086,0.01458827,-0.6978912,success
5082,0.2281461,0.01689233,-0.7218534,success
5084,0.3327955,0.02504742,-0.7129877,success
5097,0.283081,0.01533899,-0.7216479,success
5110,0.265239,0.02193458,-0.7120884,success
5165,0.2358217,0.01562244,-0.6592636,success
5172,0.2122759,0.01930907,-0.6353548,success
5202,0.2097452,0.01956898,-0.6318434,success
4132,0.1666033,0.1873274,-0.6122505,success
4962,0.3279724,0.01272787,-0.5504645,success
5083,0.2388839,0.004381433,-0.5649574,success
5113,0.2409889,0.01335247,-0.5631449,success
5136,0.2431202,0.01350015,-0.6707525,success
5161,0.2315493,0.01050363,-0.6712325,success
5169,0.2468246,0.01491964,-0.6793231,success
5173,0.2635417,0.01212011,-0.6070362,success
5177,0.2781089,0.0141656,-0.7270631,success
5191,0.2851248,-0.0006480664,-0.662698,success
5192,0.2619773,0.01217824,-0.6226679,success
5194,0.2618301,0.01130821,-0.6449167,success
5197,0.2595926,0.01513435,-0.657699,success
5204,0.2265775,0.01475534,-0.5914176,success
5205,0.3377761,0.02485061,-0.7055719,success
5215,0.335661,0.02680416,-0.7105663,success
5220,0.2171756,0.01330586,-0.5850235,success
5229,0.273616,0.01147658,-0.5940669,success
5255,0.2311057,0.01510385,-0.6534631,success
5267,0.221299,0.01683901,-0.7250772,success
5268,0.2151749,0.00728035,-0.6354131,success
5272,0.2286913,0.01387778,-0.6682217,success
5279,0.2419452,0.01563838,-0.683611,success
5284,0.2446883,0.01408985,-0.651118,success
5287,0.2600853,0.01542608,-0.7304151,success
5319,0.2581423,0.0157446,-0.7321897,success
4548,0.335205,0.02281414,-0.6772981,success
5274,0.2295142,0.01151431,-0.5754749,success
5290,0.28747,0.01178637,-0.6568118,success
5292,0.2650581,0.01091434,-0.6561078,success
5295,0.2649491,0.01006202,-0.589165,success
5300,0.2322745,0.0101555,-0.6133602,success
5412,0.2235001,0.01737694,-0.6357239,success
5416,0.2116327,0.01855463,-0.6302508,success
5423,0.286851,0.01227623,-0.674267,success
5425,0.2881444,0.009494066,-0.7301796,success
5426,0.2814247,0.01487206,-0.684678,success
5428,0.2305668,0.01208612,-0.6667045,success
5441,0.2400535,0.01190846,-0.731872,success
5443,0.2459162,0.009366214,-0.724347,success
5445,0.246027,0.01469389,-0.6246234,success
5446,0.2463925,0.01358292,-0.6423517,success
5453,0.2372886,0.01399158,-0.6244857,success
5477,0.2448547,0.01065524,-0.6493316,success
5482,0.250253,0.01288661,-0.6638042,success
4241,0.2653793,0.01067935,-0.6384792,success
5396,0.3039654,0.01242673,-0.6688105,success
5403,0.3047929,0.01258843,-0.5928899,success
5410,0.3249388,0.03274474,-0.7438422,success
5421,0.2191859,0.005508184,-0.5984699,success
5424,0.28271,0.01106018,-0.6476367,success
5496,0.246347,0.01728471,-0.5735648,success
5497,0.2340991,0.0208544,-0.592275,success
5510,0.2313421,0.007395402,-0.6515998,success
5511,0.2278956,0.0170788,-0.6157335,success
5515,0.2448044,0.01346526,-0.6334993,success
5517,0.2610612,0.01404089,-0.6957551,success
5519,0.2626375,0.01209009,-0.6428213,success
5539,0.3005275,0.01649264,-0.7055283,success
5540,0.2862667,0.01366507,-0.6923319,success
5547,0.3016879,0.01439746,-0.7440881,success
5560,0.2701288,0.0142227,-0.7358921,success
5583,0.2939685,0.01554675,-0.7354541,success
5607,0.2432442,0.01140699,-0.7208065,success
5622,0.2330872,0.01706538,-0.7267407,success
5623,0.2182795,0.006421685,-0.7170779,success
4719,0.1637388,0.1670369,-0.6102596,success
5422,0.2176386,0.01316866,-0.5626626,success
5541,0.2821794,0.01242867,-0.6118168,success
5558,0.2469789,0.01028974,-0.5975919,success
5616,0.3336057,0.02947319,-0.6250579,success
5645,0.3017621,0.01432818,-0.7338291,success
5664,0.2469393,0.009864777,-0.7325003,success
5668,0.2445629,0.01617867,-0.6769367,success
5669,0.2531428,0.0129544,-0.7051678,success
5672,0.2601733,0.01539044,-0.7127674,success
5673,0.2602912,0.01297453,-0.6801157,success
5694,0.3256884,0.03186512,-0.7507896,success
5704,0.2674392,0.01212813,-0.6957051,success
5707,0.2475794,0.01194149,-0.7338567,success
5727,0.2280787,0.01609908,-0.7355384,success
5733,0.2407062,0.01602316,-0.6647187,success
4099,0.2643474,0.01410431,-0.6886122,success
4365,0.1826574,0.1653832,-0.6349529,success
5568,0.3056814,0.01463833,-0.5623407,success
5593,0.2308987,0.01235846,-0.5574141,success
5619,0.3452329,0.02856247,-0.558443,success
5647,0.3052198,0.01111665,-0.6776298,success
5648,0.3052048,0.01200491,-0.6203043,success
5653,0.2300402,0.003893211,-0.5891408,success
5658,0.3018721,0.009427413,-0.615542,success
5689,0.3073322,0.01229709,-0.6182465,success
5698,0.226861,0.01052143,-0.6138318,success
5706,0.2308459,0.01393193,-0.6172123,success
5770,0.2280479,0.01180638,-0.7220148,success
5775,0.2765642,0.01666947,-0.7080345,success
5795,0.300386,0.01585169,-0.7519839,success
5808,0.2138748,0.01566575,-0.7374542,success
5812,0.2840472,0.01107369,-0.7034521,success
5815,0.2429698,0.0128957,-0.6884977,success
5816,0.2459149,0.01526408,-0.7274957,success
5825,0.2597779,0.01345867,-0.6976172,success
5826,0.2627279,0.01296845,-0.7443714,success
5839,0.2395746,0.01517729,-0.7245595,success
5842,0.2778983,0.01142319,-0.7301941,success
5845,0.2453381,0.01609933,-0.7445161,success
5868,0.2223931,0.01949333,-0.7377713,success
5907,0.1840349,0.166447,-0.6437226,success
5991,0.1695785,0.1836124,-0.6357594,success
5997,0.2064454,0.1370107,-0.6775869,success
5564,0.3304514,0.005853415,-0.5437762,success
5662,0.2350737,0.01246044,-0.5624728,success
5684,0.2642369,0.01410089,-0.5851164,success
5725,0.2522551,0.01253967,-0.5710356,success
5764,0.2300716,0.01342478,-0.5976636,success
5774,0.2640599,0.01349235,-0.6378183,success
5791,0.2556199,0.02141383,-0.6044766,success
5794,0.2993683,0.01255029,-0.6345821,success
5799,0.3018706,0.01565732,-0.6577998,success
5832,0.2786335,0.01443736,-0.6204473,success
5837,0.2649038,0.01592493,-0.6008492,success
5896,0.2112309,0.01608045,-0.7379146,success
