timestamp,pos_x,pos_y,pos_z,rot_e_x,rot_e_y,rot_e_z
2022-10-20-20-15-9,-5.941611,0.358072,-0.4222022,16.87234,263.4027,0.01284469
2022-10-20-20-15-10,-6.4885,0.3496569,-0.5145365,18.4597,265.0073,358.4392
2022-10-20-20-15-11,-7.102504,0.3199697,-0.5896171,18.00468,268.6209,358.7462
2022-10-20-20-15-12,-7.688979,0.3057846,-0.6282361,20.18613,266.5238,359.7821
2022-10-20-20-15-13,-8.222568,0.3020022,-0.63417,20.38345,266.3627,1.141763
2022-10-20-20-15-13,-8.773005,0.2614314,-0.6409954,21.03801,269.7477,358.9145
2022-10-20-20-15-14,-9.323582,0.1745279,-0.6073883,34.66425,275.4941,0.8750964
2022-10-20-20-15-15,-9.692572,0.01516974,-0.5423366,58.70428,271.8539,359.7249
2022-10-20-20-15-16,-9.885494,-0.1991372,-0.5266061,74.07143,274.4278,1.808939
2022-10-20-20-15-17,-9.96183,-0.3655048,-0.5094424,80.60928,265.0798,354.014
2022-10-20-20-15-17,-10.00809,-0.3886915,-0.4957244,83.47935,263.0024,352.1148
2022-10-20-20-15-18,-10.02797,-0.4004415,-0.4929632,85.52058,259.9236,349.3454
2022-10-20-20-15-19,-10.02836,-0.400268,-0.4946518,86.18125,255.3287,344.6192
2022-10-20-20-15-20,-10.0269,-0.3359482,-0.4966376,77.53088,269.524,358.6413
2022-10-20-20-15-21,-9.981326,0.04063916,-0.5303236,42.59702,276.3213,1.835386
2022-10-20-20-15-21,-10.12927,0.1838703,-0.5080666,19.76798,272.5044,0.05376107
2022-10-20-20-15-22,-10.53744,0.2355733,-0.5577797,18.07092,277.1742,357.4387
2022-10-20-20-15-23,-11.00135,0.222169,-0.4897817,19.32087,274.7428,359.6042
2022-10-20-20-15-24,-11.46966,0.223386,-0.4406589,16.49467,273.602,359.494
2022-10-20-20-15-25,-11.9851,0.2195271,-0.4527522,16.43941,272.5588,358.2201
2022-10-20-20-15-25,-12.42739,0.1982444,-0.4547259,17.80493,272.9812,359.81
2022-10-20-20-15-26,-12.83306,0.179882,-0.4201372,20.50169,289.5638,358.0791
2022-10-20-20-15-27,-12.97454,0.1835299,-0.2810815,21.70977,333.65,359.5016
2022-10-20-20-15-28,-12.77259,0.198914,-0.1742461,18.75053,21.30463,1.200936
2022-10-20-20-15-29,-12.51768,0.214663,-0.254567,16.1852,71.87095,2.237076
2022-10-20-20-15-29,-12.20563,0.2299945,-0.3316919,14.26608,91.66128,2.110633
2022-10-20-20-15-30,-11.81166,0.2427951,-0.3420587,14.85748,97.11523,2.795353
2022-10-20-20-15-31,-11.3712,0.2420062,-0.3300737,13.50514,95.29575,2.69221
2022-10-20-20-15-32,-10.87826,0.1665854,-0.3893558,27.77568,95.36989,3.30005
2022-10-20-20-15-33,-10.51494,-0.04233962,-0.4435517,57.05681,94.84813,5.969545
2022-10-20-20-15-33,-10.30839,-0.2398061,-0.450543,69.29122,97.78866,6.702539
2022-10-20-20-15-34,-10.20013,-0.3421872,-0.4843428,77.89599,106.8627,15.19371
2022-10-20-20-15-35,-10.1458,-0.3369103,-0.4926729,80.28027,114.4726,23.35097
2022-10-20-20-15-36,-10.12452,-0.3387775,-0.5016457,81.07111,112.0368,21.19533
2022-10-20-20-15-37,-10.15187,-0.2616739,-0.5100916,69.87485,100.5364,5.749724
2022-10-20-20-15-37,-10.26278,0.1190203,-0.5894591,36.01816,121.1899,1.266977
2022-10-20-20-15-38,-10.37473,0.2906997,-0.749837,20.29081,148.8138,0.9741547
2022-10-20-20-15-39,-10.34498,0.3126634,-0.7916059,15.48364,173.2172,359.14
2022-10-20-20-15-40,-10.32279,0.3049968,-0.7934931,14.23541,179.4509,358.3427
2022-10-20-20-15-41,-10.30629,0.2971277,-1.04208,14.93668,182.0953,357.5291
2022-10-20-20-15-41,-10.2571,0.3122193,-1.489649,15.20441,191.4362,358.2687
